Market,Suscriber,Format,oct,nov,dec
Miami Ft Lauderdale,WFLC-FM HD2,80's Hits,0.1,0.1,0.2
Miami Ft Lauderdale,WRMF-FM,Adult Contemporary,1.2,1.1,1.4
Miami Ft Lauderdale,WLYF-FM,Adult Contemporary,5.1,5.0,5.3
Miami Ft Lauderdale,WFEZ-FM,Adult Contemporary,5.6,5.4,6.2
Miami Ft Lauderdale,WXBN-AM,All News,0.1,*,0.1
Miami Ft Lauderdale,WQAM-AM Stream,All Sports,0.1,*,0.1
Miami Ft Lauderdale,WQAM-AM,All Sports,1.6,1.5,1.2
Miami Ft Lauderdale,WMEN-AM,All Sports,0.2,0.2,0.2
Miami Ft Lauderdale,WKIS-FM HD2,All Sports,0.1,*,*
Miami Ft Lauderdale,WINZ-AM,All Sports,0.6,0.5,0.5
Miami Ft Lauderdale,WSFS-FM Stream,Alternative,*,*,0.2
Miami Ft Lauderdale,WSFS-FM,Alternative,1.7,2.3,2.1
Miami Ft Lauderdale,WMXJ-FM Stream,Classic Hits,*,*,0.1
Miami Ft Lauderdale,WMXJ-FM,Classic Hits,3.6,4.0,4.1
Miami Ft Lauderdale,WEAT-FM,Classic Hits,0.1,0.1,0.3
Miami Ft Lauderdale,WBGG-FM,Classic Rock,2.5,2.4,2.8
Miami Ft Lauderdale,WAYF-FM,Contemporary Christian,0.6,0.3,0.3
Miami Ft Lauderdale,WMIA-FM HD3,Country,0.1,*,0.1
Miami Ft Lauderdale,WKIS-FM Stream,Country,*,*,0.1
Miami Ft Lauderdale,WKIS-FM,Country,3.3,3.2,3.1
Miami Ft Lauderdale,WIRK-FM,Country,*,*,0.1
Miami Ft Lauderdale,WDNA-FM,Jazz,0.3,0.3,0.5
Miami Ft Lauderdale,WRMA-FM,Latino Urban,3.0,3.1,2.8
Miami Ft Lauderdale,WLRN-FM HD2 Stream,News Talk Information,*,*,0.1
Miami Ft Lauderdale,WLRN-FM HD2,News Talk Information,0.1,0.1,0.1
Miami Ft Lauderdale,WLRN-FM,News Talk Information,4.9,5.3,5.6
Miami Ft Lauderdale,WIOD-AM,News Talk Information,2.8,2.6,3.2
Miami Ft Lauderdale,WFTL-AM,News Talk Information,0.1,*,0.1
Miami Ft Lauderdale,WHYI-FM,Pop Contemporary Hit Radio,2.7,2.4,2.3
Miami Ft Lauderdale,WFLC-FM,Rhythmic AC,3.6,4.3,4.2
Miami Ft Lauderdale,WPOW-FM Stream,Rhythmic Contemporary Hit Radio,0.1,*,*
Miami Ft Lauderdale,WPOW-FM HD3,Rhythmic Contemporary Hit Radio,0.1,0.1,0.1
Miami Ft Lauderdale,WPOW-FM,Rhythmic Contemporary Hit Radio,3.6,3.5,2.8
Miami Ft Lauderdale,WURN-FM,Spanish Adult Hits,0.1,0.1,0.1
Miami Ft Lauderdale,WMIA-FM,Spanish Adult Hits,5.7,5.3,4.4
Miami Ft Lauderdale,WZTU-FM,Spanish Contemporary,2.8,2.9,2.8
Miami Ft Lauderdale,WRTO-FM,Spanish Contemporary,2.2,2.0,1.9
